epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
56.0000,0.7724,0.7566,0.6821,0.8117,0.7085,0.7695,0.5118,0.5208,0.7194,0.5117,0.5844,0.5420,0.5249,0.7966,0.9132,0.5280,0.5367,0.7373,0.5272,0.6058,0.5580,0.5390,0.7854
57.0000,0.7707,0.7566,0.6821,0.8117,0.7085,0.7694,0.5118,0.5208,0.7194,0.5117,0.5844,0.5420,0.5249,0.7966,0.9133,0.5332,0.5436,0.7414,0.5334,0.6058,0.5713,0.5523,0.7899
58.0000,0.7797,0.7564,0.6816,0.8112,0.7081,0.7692,0.5133,0.5218,0.7221,0.5130,0.5844,0.5403,0.5225,0.7948,0.9134,0.5291,0.5378,0.7359,0.5285,0.6058,0.5559,0.5369,0.7854
59.0000,0.7592,0.7564,0.6816,0.8112,0.7081,0.7691,0.5133,0.5218,0.7221,0.5130,0.5844,0.5403,0.5225,0.7948,0.9135,0.5315,0.5415,0.7387,0.5313,0.6058,0.5650,0.5460,0.7882
60.0000,0.7784,0.7562,0.6822,0.8112,0.7083,0.7692,0.5133,0.5218,0.7221,0.5130,0.5844,0.5403,0.5225,0.7948,0.9133,0.5350,0.5463,0.7414,0.5360,0.6058,0.5723,0.5534,0.7886
61.0000,0.7685,0.7566,0.6821,0.8117,0.7085,0.7692,0.5103,0.5197,0.7180,0.5103,0.5844,0.5510,0.5338,0.7991,0.9132,0.5306,0.5421,0.7373,0.5315,0.6058,0.5713,0.5523,0.7860
62.0000,0.7863,0.7566,0.6821,0.8117,0.7085,0.7693,0.5103,0.5197,0.7180,0.5103,0.5844,0.5510,0.5338,0.7991,0.9132,0.5306,0.5421,0.7373,0.5315,0.6058,0.5713,0.5523,0.7860
63.0000,0.7799,0.7566,0.6821,0.8117,0.7085,0.7692,0.5103,0.5197,0.7180,0.5103,0.5844,0.5510,0.5338,0.7991,0.9132,0.5323,0.5431,0.7400,0.5327,0.6058,0.5713,0.5523,0.7886
64.0000,0.7529,0.7571,0.6831,0.8121,0.7093,0.7692,0.5103,0.5197,0.7180,0.5103,0.5844,0.5510,0.5338,0.7991,0.9132,0.5306,0.5421,0.7373,0.5315,0.6058,0.5713,0.5523,0.7860
65.0000,0.7813,0.7562,0.6844,0.8121,0.7096,0.7694,0.5128,0.5239,0.7208,0.5135,0.5844,0.5306,0.5134,0.7963,0.9130,0.5294,0.5426,0.7373,0.5306,0.6058,0.5981,0.5782,0.7897
66.0000,0.7629,0.7567,0.6852,0.8126,0.7103,0.7694,0.5128,0.5239,0.7208,0.5135,0.5844,0.5306,0.5134,0.7963,0.9129,0.5294,0.5426,0.7373,0.5306,0.6058,0.5981,0.5782,0.7897
67.0000,0.7905,0.7572,0.6850,0.8131,0.7104,0.7693,0.5113,0.5213,0.7194,0.5116,0.5844,0.5300,0.5129,0.7959,0.9129,0.5294,0.5426,0.7373,0.5306,0.6058,0.5981,0.5782,0.7897
68.0000,0.7647,0.7578,0.6846,0.8131,0.7104,0.7693,0.5113,0.5213,0.7194,0.5116,0.5844,0.5300,0.5129,0.7959,0.9130,0.5296,0.5426,0.7373,0.5310,0.6058,0.5767,0.5577,0.7888
69.0000,0.7850,0.7578,0.6846,0.8131,0.7104,0.7693,0.5104,0.5202,0.7180,0.5107,0.5844,0.5300,0.5129,0.7972,0.9130,0.5291,0.5416,0.7359,0.5303,0.6058,0.5814,0.5624,0.7914
70.0000,0.7678,0.7573,0.6834,0.8126,0.7096,0.7693,0.5096,0.5192,0.7166,0.5097,0.5844,0.5293,0.5122,0.7974,0.9130,0.5314,0.5432,0.7387,0.5325,0.6058,0.5749,0.5559,0.7875
71.0000,0.7854,0.7571,0.6831,0.8121,0.7093,0.7693,0.5103,0.5197,0.7180,0.5103,0.5844,0.5510,0.5338,0.7991,0.9130,0.5314,0.5432,0.7387,0.5325,0.6058,0.5749,0.5559,0.7875
72.0000,0.7720,0.7571,0.6831,0.8121,0.7093,0.7693,0.5103,0.5197,0.7180,0.5103,0.5844,0.5510,0.5338,0.7991,0.9130,0.5314,0.5432,0.7387,0.5325,0.6058,0.5749,0.5559,0.7875
73.0000,0.7880,0.7571,0.6831,0.8121,0.7093,0.7692,0.5103,0.5197,0.7180,0.5103,0.5844,0.5510,0.5338,0.7991,0.9130,0.5306,0.5421,0.7373,0.5315,0.6058,0.5713,0.5523,0.7860
