epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
90.0000,0.7647,0.8473,0.8164,0.8814,0.8305,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
91.0000,0.7606,0.8470,0.8162,0.8809,0.8302,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
92.0000,0.7551,0.8470,0.8162,0.8809,0.8302,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
93.0000,0.7599,0.8470,0.8162,0.8809,0.8302,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
94.0000,0.7694,0.8470,0.8162,0.8809,0.8302,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
95.0000,0.7641,0.8466,0.8161,0.8804,0.8300,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
96.0000,0.7656,0.8470,0.8162,0.8809,0.8302,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
97.0000,0.7420,0.8470,0.8162,0.8809,0.8302,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
98.0000,0.7728,0.8470,0.8162,0.8809,0.8302,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
99.0000,0.7634,0.8470,0.8162,0.8809,0.8302,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
