epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
72.0000,0.7322,0.9740,0.9778,0.9840,0.9759,0.7982,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4959,0.4783,0.7015,0.4840,0.5820,0.4187,0.4030,0.7374
73.0000,0.7524,0.9740,0.9778,0.9840,0.9759,0.7982,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4959,0.4783,0.7015,0.4840,0.5820,0.4187,0.4030,0.7374
74.0000,0.7160,0.9740,0.9778,0.9840,0.9759,0.7982,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4959,0.4783,0.7015,0.4840,0.5820,0.4187,0.4030,0.7374
75.0000,0.7220,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
76.0000,0.7445,0.9740,0.9778,0.9840,0.9759,0.7983,0.6335,0.5561,0.7180,0.5773,0.6122,0.4962,0.4806,0.7204,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
77.0000,0.7523,0.9740,0.9778,0.9840,0.9759,0.7983,0.6335,0.5561,0.7180,0.5773,0.6122,0.4962,0.4806,0.7204,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
78.0000,0.7505,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
79.0000,0.7399,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
80.0000,0.7321,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
81.0000,0.7331,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
82.0000,0.7353,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
83.0000,0.7170,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
84.0000,0.7397,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
85.0000,0.7615,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9020,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
86.0000,0.7452,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9020,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
87.0000,0.7458,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9020,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
88.0000,0.7354,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
89.0000,0.7261,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
90.0000,0.7434,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
91.0000,0.7492,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
92.0000,0.7344,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
93.0000,0.7413,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
94.0000,0.7380,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
95.0000,0.7375,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
96.0000,0.7637,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
97.0000,0.7421,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
98.0000,0.7530,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
99.0000,0.7588,0.9740,0.9778,0.9840,0.9759,0.7983,0.6341,0.5566,0.7194,0.5779,0.6122,0.5185,0.5023,0.7222,0.9021,0.4978,0.4808,0.7029,0.4861,0.5820,0.4164,0.3992,0.7370
