epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
59.0000,0.7718,0.7341,0.6658,0.8559,0.6557,0.7739,0.5040,0.4967,0.7208,0.4989,0.5192,0.6364,0.6230,0.8284,0.9006,0.5197,0.5049,0.7331,0.5080,0.5373,0.5262,0.5139,0.8006
60.0000,0.7570,0.7339,0.6662,0.8559,0.6558,0.7740,0.5019,0.4942,0.7194,0.4966,0.5192,0.6291,0.6160,0.8280,0.9005,0.5198,0.5055,0.7331,0.5084,0.5373,0.5262,0.5139,0.8006
61.0000,0.7442,0.7351,0.6667,0.8564,0.6568,0.7740,0.5040,0.4967,0.7208,0.4989,0.5192,0.6364,0.6230,0.8284,0.9006,0.5198,0.5055,0.7331,0.5084,0.5373,0.5262,0.5139,0.8006
62.0000,0.7587,0.7352,0.6666,0.8564,0.6568,0.7740,0.5040,0.4967,0.7208,0.4989,0.5192,0.6364,0.6230,0.8284,0.9006,0.5179,0.5024,0.7318,0.5060,0.5373,0.5183,0.5060,0.8006
63.0000,0.7631,0.7355,0.6667,0.8569,0.6570,0.7741,0.5019,0.4942,0.7194,0.4966,0.5192,0.6291,0.6160,0.8280,0.9005,0.5179,0.5024,0.7318,0.5060,0.5373,0.5183,0.5060,0.8006
64.0000,0.7613,0.7341,0.6658,0.8559,0.6557,0.7740,0.5019,0.4942,0.7194,0.4966,0.5192,0.6291,0.6160,0.8280,0.9006,0.5179,0.5024,0.7318,0.5060,0.5373,0.5183,0.5060,0.8006
65.0000,0.7454,0.7344,0.6660,0.8564,0.6559,0.7740,0.5040,0.4967,0.7208,0.4989,0.5192,0.6364,0.6230,0.8284,0.9006,0.5187,0.5029,0.7331,0.5066,0.5373,0.5191,0.5067,0.8009
66.0000,0.7518,0.7344,0.6660,0.8564,0.6559,0.7738,0.5040,0.4967,0.7208,0.4989,0.5192,0.6364,0.6230,0.8284,0.9007,0.5197,0.5049,0.7331,0.5080,0.5373,0.5262,0.5139,0.8006
67.0000,0.7614,0.7344,0.6660,0.8564,0.6559,0.7738,0.5040,0.4967,0.7208,0.4989,0.5192,0.6364,0.6230,0.8284,0.9007,0.5197,0.5049,0.7331,0.5080,0.5373,0.5262,0.5139,0.8006
68.0000,0.7595,0.7344,0.6660,0.8564,0.6559,0.7738,0.5040,0.4967,0.7208,0.4989,0.5192,0.6364,0.6230,0.8284,0.9006,0.5197,0.5049,0.7331,0.5080,0.5373,0.5262,0.5139,0.8006
69.0000,0.7679,0.7344,0.6660,0.8564,0.6559,0.7738,0.5040,0.4967,0.7208,0.4989,0.5192,0.6364,0.6230,0.8284,0.9007,0.5197,0.5049,0.7331,0.5080,0.5373,0.5262,0.5139,0.8006
70.0000,0.7596,0.7344,0.6660,0.8564,0.6559,0.7738,0.5040,0.4967,0.7208,0.4989,0.5192,0.6364,0.6230,0.8284,0.9007,0.5197,0.5049,0.7331,0.5080,0.5373,0.5262,0.5139,0.8006
71.0000,0.7638,0.7344,0.6660,0.8564,0.6559,0.7738,0.5040,0.4967,0.7208,0.4989,0.5192,0.6364,0.6230,0.8284,0.9007,0.5197,0.5049,0.7331,0.5080,0.5373,0.5262,0.5139,0.8006
